FECHA,NEMO,RAZON_SOCIAL,VOLUMEN,VAR_PRE,CANTIDAD,PRE_CIE,PRE_MAX,PRE_MED,PRE_MEN,V_ACMI_FEC_INSCRIP,PATRI_CON
04/01/2016,PFVILLAS00,BANCO COMERCIAL AV VILLAS S.A.,0,0,0,0,0,0,0,20030401,6116.74
04/01/2016,PFVILLAS01,BANCO COMERCIAL AV VILLAS S.A.,0,0,0,0,0,0,0,20030401,6116.74
04/01/2016,PFVILLASCA,BANCO COMERCIAL AV VILLAS S.A.,0,0,0,2700,0,0,0,20030401,6116.74
04/01/2016,POPULAR   ,BANCO POPULAR S.A.,0,0,0,494,0,0,0,19940526,338.85
04/01/2016,PROMIGAS  ,PROMIGAS S.A. E.S.P.,0,0,0,5000,0,0,0,19900822,2578.88
04/01/2016,PROTECCION,ADMINISTRADORA DE FONDOS DE PENSIONES Y CES PROTECCION,0,0,0,71000,0,0,0,19950616,47052.87
04/01/2016,RCNTELEVI ,R.C.N. TELEVISION S.A.,0,0,0,24100,0,0,0,19980312,39249.1
04/01/2016,RIOPAILA  ,RIOPAILA AGRICOLA S.A.,0,0,0,6144,0,0,0,19830617,5108.24
04/01/2016,RIOPAILIND,RIOPAILA CASTILLA S.A.,0,0,0,0,0,0,0,20060810,8853.56
04/01/2016,SANFELIPE ,COMPANIA AGRICOLA SAN FELIPE S.A.,0,0,0,480,0,0,0,19860619,1078.18
04/01/2016,TERPEL    ,ORGANIZACION TERPEL S.A,8460000,0,1000,8460,8460,8460,8460,20140815,8168.7
04/01/2016,TGLSC     ,TECNOGLASS INC,0,0,0,0,0,0,0,20160106,10504.95
04/01/2016,VALINDUSTR,VALORES INDUSTRIALES S.A.,0,0,0,5500,0,0,0,19970901,8741.69
04/01/2016,VALOREM   ,VALOREM S.A.,0,0,0,460,0,0,0,19980105,531.55
04/01/2016,VALSIMESA ,VALORES SIMESA S.A.,0,0,0,1500,0,0,0,20010322,7906.57
04/01/2016,VILLAS    ,BANCO COMERCIAL AV VILLAS S.A.,0,0,0,9500,0,0,0,19941215,6116.74
05/01/2016,AGROCHAL  ,AGROGUACHAL S.A.,0,0,0,506,0,0,0,19860619,1360.33
05/01/2016,BBVACOL   ,BANCO BILBAO VIZCAYA ARGENTARIA COLOMBIA S.A.,0,0,0,240,0,0,0,19730824,284.2
05/01/2016,BCOLOMBIA ,BANCOLOMBIA S.A.,115901620,1.85,5587,20880,20880,20744.88,20500,19450701,22925.5
05/01/2016,BIOMAX    ,BIOMAX BIOCOMBUSTIBLES S.A.,0,0,0,1750,0,0,0,20091028,1184.78
05/01/2016,BMC       ,BMC BOLSA MERCANTIL DE COLOMBIA,0,0,0,841,0,0,0,20071030,1142.83
05/01/2016,BOGOTA    ,BANCO DE BOGOTA S.A.,10870000,-0.84,185,59000,59000,58756.76,59000,19290401,50263.89
05/01/2016,BVC       ,BOLSA DE VALORES DE COLOMBIA S.A.,465704147.2,1.74,27083000,17.5,17.5,17.2,17.1,20070621,6.17
05/01/2016,CARACOLTV ,CARACOL TELEVISION S.A.,0,0,0,382,0,0,0,19970502,660.91
05/01/2016,CARTON    ,CARTON DE COLOMBIA S.A.,0,0,0,4600,0,0,0,19690523,13240.6
05/01/2016,CELSIA    ,CELSIA S.A E.S.P,1033851505,7.14,350713,3000,3000,2947.86,2850,20011008,5680.52
05/01/2016,CEMARGOS  ,CEMENTOS ARGOS S.A.,1751093500,1.41,187436,9330,9460,9342.35,9200,19620201,6196.02
05/01/2016,CLH       ,CEMEX LATAM HOLDING,116022400,-0.38,11156,10400,10400,10400,10400,20121107,7593.43
05/01/2016,CNEC      ,CANACOL ENERGY LTD,199485960,-0.94,31731,6300,6350,6286.78,6230,20100721,6139.86
05/01/2016,COLOMBINA ,COLOMBINA S.A.,0,0,0,319,0,0,0,19871217,470.67
05/01/2016,COLTEJER  ,COLTEJER S.A.,0,0,0,1950,0,0,0,19360501,7982.28
05/01/2016,CONCIVILES,CONSTRUCCIONES CIVILES S.A.,0,0,0,500,0,0,0,19901217,0.01
05/01/2016,CONCONCRET,CONSTRUCTORA CONCRETO S.A,63206820,-0.93,59494,1070,1070,1062.41,1030,19831027,1178.48
05/01/2016,COOMEVAEPS,COOMEVA ENTIDAD PROMOTORA DE SALUD S.A.,0,0,0,0.39,0,0,0,19960223,1
05/01/2016,CORFERIAS ,CORPORACION DE FERIAS Y EXPOSICIONES S.A.,0,0,0,1000,0,0,0,19900328,2720.1
05/01/2016,CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA S.A.,1236384120,1,32444,38400,38400,38108.25,38020,19921028,21634.61
05/01/2016,DESCAUCANO,ALIMENTOS DERIVADOS DE LA CANA S.A.,0,0,0,709,0,0,0,19961210,2812.42
05/01/2016,ECOPETROL ,ECOPETROL S.A.,5949797650,-1.81,5489806,1085,1100,1083.79,1065,20070822,1104.57
05/01/2016,EEB       ,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,119415700,1.74,69050,1750,1750,1729.41,1720,20080708,1239.86
05/01/2016,ELCONDOR  ,CONSTRUCCIONES EL CONDOR S.A,63288000,0,58600,1080,1080,1080,1080,20120305,1594.75
05/01/2016,ELECTULUA ,COMPANIA DE ELECTRICIDAD DE TULUA S.A. E.S.P.,0,0,0,498460,0,0,0,19960327,341939.59
05/01/2016,EMPAQUES  ,COMPANIA DE EMPAQUES S.A.,0,0,0,11000,0,0,0,19680607,16529.12
05/01/2016,ENKA      ,ENKA DE COLOMBIA S.A.,0,0,0,10.9,0,0,0,20070917,31.26
05/01/2016,EPSA      ,EMPRESA DE ENERGIA DEL PACIFICO S.A. E.S.P.,0,0,0,9000,0,0,0,19991203,8064.11
05/01/2016,ESTRA     ,INDUSTRIAS ESTRA S.A.,0,0,0,245,0,0,0,19690327,345.39
05/01/2016,ETB       ,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. E.S.P.,1557991697,4.42,2898239,543,548,537.56,522,20030509,548.44
05/01/2016,EXITO     ,ALMACENES EXITO S.A.,8988654500,-0.15,698654,12980,13000,12865.67,12700,19970430,43155.7
05/01/2016,FABRICATO ,FABRICATO  S.A.,16610000,0.67,1100000,15.1,15.1,15.1,15.1,19340401,62.08
05/01/2016,FAMILIA   ,PRODUCTOS FAMILIA S.A.,0,0,0,1100,0,0,0,19981124,1348.03
05/01/2016,FGNTOLIMA ,FONDO GANADERO DEL TOLIMA S.A.,0,0,0,12,0,0,0,19751104,43.07
05/01/2016,GASNATURAL,GAS NATURAL S.A. E.S.P.,0,0,0,120000,0,0,0,19961230,11700.57
05/01/2016,GASORIENTE,GAS NATURAL DEL ORIENTE S.A. E.S.P.,0,0,0,10700,0,0,0,19951127,1215.3
05/01/2016,GRUPOARGOS,GRUPO ARGOS S.A.,978070660,2.53,60885,16200,16200,16064.23,15800,19410825,26989.27
05/01/2016,GRUPOAVAL ,GRUPO AVAL ACCIONES Y VALORES S.A.,69032500,-0.48,65900,1045,1045,1047.53,1045,19981116,1070.85
05/01/2016,GRUPOSURA ,GRUPO INVERSIONES SURAMERICANA,3299996600,0.47,96230,34280,35200,34292.8,34120,19450716,43597.61
05/01/2016,HCOLSEL   ,FONDO BURSATIL HORIZONS COLOMBIA SELECT DE SYP,0,0,0,10120,0,0,0,20140527,15000
05/01/2016,ICOLCAP   ,FONDO BURSATIL ISHARES COLCAP,2412058200,-3.15,211200,11420,11450,11420.73,11420,20110706,17160
05/01/2016,INCASTILLA,CASTILLA AGRICOLA S.A.,0,0,0,15100,0,0,0,19830715,9898.91
05/01/2016,INESA     ,INVERSIONES EQUIPOS Y SERVICIOS S.A.,0,0,0,419,0,0,0,19840628,1139.25
05/01/2016,INVENSA   ,INVERSIONES VENECIA S.A.,0,0,0,506,0,0,0,19860623,1638.54
05/01/2016,ISA       ,INTERCONEXION ELECTRICA S.A. E.S.P.,1290218960,1.84,180601,7180,7220,7144.03,7010,20021126,14796.55
05/01/2016,MARLY     ,CLINICA DE MARLY S.A.,0,0,0,5300,0,0,0,19370812,19961.63
05/01/2016,MAYAGUEZ  ,MAYAGUEZ S.A.,0,0,0,6500,0,0,0,19841102,11480.45
05/01/2016,MINEROS   ,MINEROS S.A.,64656600,2.9,33236,1950,1950,1945.38,1945,19771116,2288.27
05/01/2016,NUTRESA   ,GRUPO NUTRESA S.A,193492400,0.27,8649,22460,22540,22371.65,22180,19610321,18070.57
